,cond_vol
0,886.2898358453416
1,844.2475501503657
2,820.5801371734442
3,807.4742924549682
4,800.2878987799388
5,796.3692131809435
6,794.2388031614418
7,793.0881559612517
8,792.60422721475
9,1470.5253380459098
10,1292.993319592751
11,1173.9781112450273
12,1251.5649799311252
13,1083.8524890433794
14,992.949017857479
15,912.023825395148
16,1038.6106597258877
17,1211.108499808652
18,1052.0078300391815
19,996.070043536816
20,1248.9386407689258
21,1064.361253424508
22,1331.0597592731
23,1240.7233709525353
24,1216.5736743319171
25,1054.2931411119257
26,1019.7030404443601
27,1051.873483591829
28,972.1690123919287
29,936.9950675788428
30,899.2784985715572
31,852.3004246395129
32,825.1016016534705
33,873.4678236231247
34,925.5593277725611
35,867.2147147294835
36,1129.2657760407785
37,1030.282630309375
38,2200.255041270389
39,2423.9869908582154
40,1862.6124102241681
41,1473.251941453833
42,1245.2570100596406
43,1208.4174570005123
44,1058.6106364759903
45,1002.1982467963285
46,1058.1562925370665
47,945.3985270390725
48,922.4844905764902
49,873.4498973100231
50,994.7437271108355
51,917.3629044529666
52,1294.156575389311
53,1093.433169555073
54,1031.2122825203712
55,937.7683747770303
56,1096.3308081905905
57,1110.259079929421
58,983.0391352740628
59,915.0144305700244
60,1365.491951604717
61,1382.1884673320083
62,1152.2804900246967
63,1082.7890011415043
64,966.9946958284081
65,891.6989137501499
66,853.7049641551858
67,827.4710802256172
68,829.0320154577239
69,829.0319977718818
70,816.4196518197888
71,810.7372189240438
72,915.7381689355558
73,886.1681983276686
74,881.378879817065
75,863.7865183380782
76,835.0699275324665
77,874.2888197798454
78,1117.9632596827305
79,1022.8822807749231
80,945.3470524184049
81,1407.9634863224935
82,2750.310317555404
83,2874.059740332548
84,2307.7959837635794
85,1837.5963238236234
86,1472.1995392700157
87,1344.8575635983393
88,1179.236924932086
89,1071.1188280744639
90,1059.4897304924323
91,1006.2364662025273
92,1238.3649260906902
93,1078.4005816644733
94,1043.100716414135
95,975.383652157654
96,1300.4720565207322
97,1252.3475822978683
98,1084.5278003117776
99,1390.129041554681
100,1335.9088693592062
101,1119.7032008026013
102,1216.514331570362
103,1523.4700148989507
104,2891.749722583164
105,3568.4935519782016
106,2836.31949453429
107,2260.897893425981
108,2933.857932526306
109,2651.8379153475835
110,2023.6402184894343
111,2628.22138685732
112,5660.117953370448
113,4294.514694276996
114,3270.395594407041
115,2651.6790336005924
116,2082.5136781445535
117,1623.7297762781527
118,1722.203725671729
119,2471.6727330467243
120,2811.174976383748
121,2652.815299586477
122,2171.07565859019
123,1739.0577195884941
124,1390.330435002641
125,1155.255406537941
126,1022.8526903660893
127,924.9691013053942
128,1323.0355167913099
129,1165.9701585150654
130,1028.7579471964164
131,999.9147847948107
132,923.2571492946872
133,917.1123562738682
134,874.9175500783491
135,878.7907170577442
136,986.8839149879642
137,1266.1975940607883
138,1095.2489359979045
139,2042.5575753758494
140,1676.5002282379312
141,1481.7763845524921
142,1305.313604683554
143,1461.714375126594
144,1255.6914507373479
145,1068.5950389721802
146,951.8225364187911
147,1267.19883901935
148,1306.624412400988
149,1330.8930968973943
150,1227.6261892621178
151,1123.4354119319453
152,1102.8594577244999
153,2094.6541990951573
154,2207.0391155518964
155,2029.3349559598064
156,1707.6610582576718
157,1945.0446207212178
158,1534.1319992587992
159,1367.761643865012
160,1141.6513230221515
161,1171.233596426168
162,1016.8741996152168
163,936.1489034410346
164,885.848511842085
165,1527.5798088211143
166,1551.137017224254
167,1297.7905887580337
168,1622.7485268388964
169,1572.981516500674
170,1356.1098056174294
171,1201.5016362213612
172,1038.3055976885482
173,933.5445478493065
174,1048.6280392021552
175,1114.8702050679544
176,1147.2630079112303
177,1126.1711039825475
178,3780.151891829475
179,3039.910213271478
180,4573.761796390025
181,3490.1085501113585
182,2632.2174816544084
183,2478.481123499866
184,1908.1825108638875
185,1643.9531499330162
186,1732.171867683118
187,1536.7207539563144
188,1311.9029430448263
189,1112.223578823821
190,981.8825841222477
191,904.5049725129448
192,1288.966162866381
193,1089.5390772437847
194,968.278495035103
195,1003.4430457742986
196,926.7158868608233
197,1088.7576036593437
198,2568.9693922110328
199,1967.5466845756118
200,1549.1176510500059
201,1512.7502254631606
202,1531.935692844822
203,1306.9328160003686
204,1107.5885664931634
205,1042.665956832782
206,943.162587273964
207,1431.0490487998632
208,1222.3098225526867
209,1072.9094029205094
210,1108.6221956989502
211,1230.0279687018037
212,1088.2631318313831
213,1018.6966707387825
214,927.5169825403462
215,1064.6206977881686
216,949.6061698344516
217,880.8044427167915
218,842.5546457479578
219,854.7941224099235
220,1581.9467563888036
221,1334.7270270505908
222,1267.047137397679
223,1077.3911555335114
224,962.3026411361369
225,929.5726699205696
226,912.0273501862575
227,1119.7181558905627
228,1069.3365246727078
229,1428.3624307902599
230,1246.113446001619
231,1090.5999427928234
232,1262.2840381657952
233,1318.9375427221225
234,1403.1334831642523
235,1178.1845347869778
236,1027.717648639036
237,936.3757699011933
238,895.1925494472837
239,850.8354818316155
240,851.7142040218973
241,931.6021902345861
242,1044.5007372250764
243,952.2700096197672
244,940.0659806382167
245,895.3589069348307
246,850.7255609232901
247,863.136472410602
248,831.6712320517968
249,1069.3527869896966
250,1184.9204418275042
251,1212.209948793964
252,1212.944140465187
253,1046.4019756361208
254,939.9378211728197
255,913.7753330554742
256,1081.4996118280542
257,1049.43673542204
258,1200.5600548512039
259,1243.4876924683383
260,1204.8014403613076
261,1037.5489346701022
262,988.3483132346419
263,1117.9439485818473
264,1039.3766417401628
265,936.6951258062783
266,881.3210401375251
267,847.6279489954211
268,823.0252143455086
269,1273.7970382200376
270,2166.547509718205
271,2484.3303276205665
272,2034.2007130342486
273,1592.8683028593484
274,2463.6976237328763
275,1891.4273821878628
276,1554.6340601422169
277,1970.03975222945
278,1545.6323844864842
279,1267.414632629251
280,1209.1983011699408
281,1158.2578837560748
282,1021.9702943536989
283,930.2686059012129
284,907.6207331022475
285,889.3001436500764
286,846.7502583159841
287,1028.046117928533
288,964.7729403254632
289,889.695769030293
290,856.5260961014159
291,839.3510991104616
292,876.2650492412117
293,974.8146066685061
294,1449.2967971829073
295,1202.6513405288613
296,1070.6847499082821
297,1024.5749118943902
298,1095.498493613905
299,1726.6060389679774
300,1485.1785085510662
301,1280.8554968257017
302,1733.8327626940143
303,1649.4353609427235
304,1512.8245712832274
305,1249.6326729151706
306,1293.389095001937
307,1092.3474292157698
308,1143.7599956584475
309,1007.4965628027297
310,1087.9349787298074
311,1152.1730228103245
312,1003.5134545385189
313,987.376786228917
314,1036.7279736191606
315,1471.3596616910584
316,1286.2689757668513
317,1152.6031112369244
318,1394.3877855187884
319,1485.6495528447372
320,1290.2094182570459
321,1098.7541106875826
322,1006.200204796498
323,1031.9361453309136
324,1123.8992322808167
325,1810.3006643634471
326,1438.3686400713448
327,1187.822405594409
328,1095.4053719863596
329,993.7214301803551
