"","tanggal","brgkt","tiba"
"205",2020-09-11,4247,3725
"206",2020-09-12,2894,2907
"207",2020-09-13,4143,4602
"208",2020-09-14,2709,3047
"209",2020-09-15,3113,3177
"210",2020-09-16,3459,3478
"211",2020-09-17,2901,3291
"212",2020-09-18,3841,3433
"213",2020-09-19,3131,2841
"214",2020-09-20,4057,3943
"215",2020-09-21,2843,3125
"216",2020-09-22,3007,2806
"217",2020-09-23,3051,3361
"218",2020-09-24,2644,2726
"219",2020-09-25,3032,3064
"220",2020-09-26,3070,2664
"221",2020-09-27,3520,3566
"222",2020-09-28,2168,2850
"223",2020-09-29,2722,2772
"224",2020-09-30,3363,3179
"225",2020-10-01,3525,3258
"226",2020-10-02,3354,2654
"227",2020-10-03,2995,2853
"228",2020-10-04,3463,3534
"229",2020-10-05,2808,3226
"230",2020-10-06,3021,2889
"231",2020-10-07,3732,3436
"232",2020-10-08,3616,3469
"233",2020-10-09,3266,2952
"234",2020-10-10,3296,3010
"235",2020-10-11,3469,3661
"236",2020-10-12,2854,3246
"237",2020-10-13,3121,3022
"238",2020-10-14,3287,3349
"239",2020-10-15,3628,3474
"240",2020-10-16,4225,2774
"241",2020-10-17,3753,3553
"242",2020-10-18,4032,4020
"243",2020-10-19,2775,2899
"244",2020-10-20,3539,3494
"245",2020-10-21,3701,3532
"246",2020-10-22,3987,3949
"247",2020-10-23,4048,3052
"248",2020-10-24,4227,3803
"249",2020-10-25,4438,4219
"250",2020-10-26,3762,3469
"251",2020-10-27,4485,3811
"252",2020-10-28,5201,4362
"253",2020-10-29,4569,3651
"254",2020-10-30,3929,3035
"255",2020-10-31,4167,4022
"256",2020-12-01,4368,4261
"257",2020-12-02,4144,3997
"258",2020-12-03,4818,4197
"259",2020-12-04,5175,4307
"260",2020-12-05,5073,4687
"261",2020-12-06,4817,4546
"262",2020-12-07,3713,3902
"263",2020-12-08,4525,3975
"264",2020-12-09,3435,3343
"265",2020-12-10,5520,4716
"266",2020-12-11,5012,3891
"267",2020-12-12,5172,4201
"268",2020-12-13,5425,5383
"269",2020-12-14,5158,4114
"270",2020-12-15,5673,4941
"271",2020-12-16,5134,5041
"272",2020-12-17,6658,5538
"273",2020-12-18,5843,4774
"274",2020-12-19,5846,4683
"275",2020-12-20,6255,5730
"276",2020-12-21,5406,4789
"277",2020-12-22,5142,4139
"278",2020-12-23,6097,4738
"279",2020-12-24,6384,5071
"280",2020-12-25,5160,3789
"281",2020-12-26,4240,3680
"282",2020-12-27,3449,4802
"283",2020-12-28,3746,4022
"284",2020-12-29,4038,3593
"285",2020-12-30,4092,3912
"286",2020-12-31,4077,4023
"287",2021-01-01,2274,2668
"288",2021-01-02,3436,4478
"289",2021-01-03,4617,5858
"290",2021-01-04,3302,5142
"291",2021-01-05,3713,4753
"292",2021-01-06,3678,4929
"293",2021-01-07,3857,4580
"294",2021-01-08,3742,4411
"295",2021-01-09,4198,4889
"296",2021-01-10,4515,5560
"297",2021-01-11,3207,4598
"298",2021-01-12,3722,3748
"299",2021-01-13,3190,3956
"300",2021-01-14,3611,3738
"301",2021-01-15,3444,3395
"302",2021-01-16,3833,3994
"303",2021-01-17,3208,3745
"304",2021-01-18,2560,3019
"305",2021-01-19,3179,3242
"306",2021-01-20,3485,3243
"307",2021-01-21,2777,3190
