"","as.character(dt[1:435, ""tanggal""])","model_fix$residuals"
"146","2023-08-24","-210.392983329353"
"147","2023-08-25","109.934468651424"
"148","2023-08-26","353.509529690262"
"149","2023-08-27","-360.377379235894"
"150","2023-08-28","-353.663921668573"
"151","2023-08-29","-717.93518307252"
"152","2023-08-30","637.177053913652"
"153","2023-08-31","-362.950495525077"
"154","2023-09-01","643.774282946145"
"155","2023-09-02","-294.461118570721"
"156","2023-09-03","-241.462569598815"
"157","2023-09-04","-469.611680474399"
"158","2023-09-05","-44.8975715432516"
"159","2023-09-06","795.668435859277"
"160","2023-09-07","-1119.77607362106"
"161","2023-09-08","1148.34494121356"
"162","2023-09-09","-1043.94426726607"
"163","2023-09-10","-199.812696647946"
"164","2023-09-11","-241.472648995911"
"165","2023-09-12","-358.465615815377"
"166","2023-09-13","795.512452139881"
"167","2023-09-14","-723.92693094037"
"168","2023-09-15","1302.58055322658"
"169","2023-09-16","-1127.07491555358"
"170","2023-09-17","826.485979218804"
"171","2023-09-18","-310.036334512191"
"172","2023-09-19","-386.598947194236"
"173","2023-09-20","735.146264978478"
"174","2023-09-21","-615.489609348985"
"175","2023-09-22","258.477914786333"
"176","2023-09-23","142.215852100885"
"177","2023-09-24","-327.782885776985"
"178","2023-09-25","-68.2946680548912"
"179","2023-09-26","-1542.49550022159"
"180","2023-09-27","-2954.86599289936"
"181","2023-09-28","2788.19788934259"
"182","2023-09-29","-1253.46580561121"
"183","2023-09-30","394.583994118078"
"184","2023-10-01","2771.9328776148"
"185","2023-10-02","-144.340467594444"
"186","2023-10-03","-492.049444570794"
"187","2023-10-04","1912.87851587247"
"188","2023-10-05","-205.755622375174"
"189","2023-10-06","-71.6130717495012"
"190","2023-10-07","-948.732293289003"
"191","2023-10-08","604.621869173116"
"192","2023-10-09","-418.796783039398"
"193","2023-10-10","230.389715486095"
"194","2023-10-11","123.806547994"
"195","2023-10-12","357.676387229469"
"196","2023-10-13","-50.7340588425404"
"197","2023-10-14","-882.432468156858"
"198","2023-10-15","251.557538491303"
