,0
419,1394.7092
420,2196.7488
421,1699.3506
422,2908.887
423,4985.7363
424,1592.1533
425,533.5526
426,4132.602
427,4113.233
428,4134.9277
429,4135.701
430,5671.857
431,4984.9365
432,5906.762
433,3988.5027
434,3135.0823
435,1178.2365
436,1915.344
437,492.63412
438,975.2456
439,1047.5619
440,1972.9194
441,700.46497
442,451.42746
443,802.7702
444,2769.0823
445,223.32977
446,4119.4287
447,4091.557
448,1205.3743
449,1636.8331
450,853.9026
451,2566.2385
452,2351.2434
453,2893.6873
454,2427.85
455,3354.8843
456,4292.44
457,5276.478
458,6535.03
459,7423.9004
460,9521.574
461,10363.316
462,8916.228
463,8429.91
464,6005.756
465,1534.1979
466,558.9101
467,3017.9148
468,3598.6948
469,9198.108
470,11379.284
471,9441.302
472,8113.9365
473,7118.4033
474,7282.3096
475,9138.571
476,10244.032
477,7192.07
478,6059.8184
479,7801.401
480,5826.7114
481,6216.5264
482,6305.2886
483,7026.5503
484,6142.64
485,6045.069
486,6923.984
487,4997.736
488,6242.8164
489,5000.1353
490,6742.164
491,6154.9497
492,4419.1885
493,7473.5825
494,5817.735
495,3828.1567
496,2982.9387
497,6096.707
498,5302.2905
499,3841.918
500,5708.4893
501,4746.688
502,5995.1113
503,4030.1296
504,4802.3003
505,5048.9814
506,2867.668
507,4994.536
508,4362.777
509,3154.9424
510,2135.253
511,5900.2246
512,4387.8325
513,3032.5117
514,2657.6719
515,3860.28
516,3896.2876
517,3308.7576
518,4409.778
519,4556.815
520,3469.2468
521,5303.098
522,5314.3945
523,5222.492
524,4096.587
525,5219.272
526,5466.422
527,3894.7542
528,5688.948
529,4638.936
530,7151.509
531,5983.652
532,4644.4727
533,1104.0825
534,3368.3003
535,6079.4897
536,5077.038
537,5374.1694
538,5520.736
539,7153.9907
540,7281.4805
541,5967.285
542,8089.9795
543,6562.2393
544,8040.4004
545,6253.498
546,8034.6157
547,7764.164
548,7082.817
549,8006.5127
550,6642.264
551,7187.93
552,7745.1284
553,6464.1494
554,8218.805
555,7744.301
556,7385.8105
557,7372.561
558,7726.92
559,6985.188
560,4983.337
561,-488.18466
562,4497.7446
563,6240.3506
564,5323.276
565,5780.206
566,4982.536
567,3577.5598
568,5464.802
569,4496.957
570,5166.1704
571,3980.803
572,4669.0034
573,4070.2898
