"tanggal","penumpang.tiba"
2023-11-15,7733
2023-11-16,7321
2023-11-17,7119
2023-11-18,7087
2023-11-19,8346
2023-11-20,8481
2023-11-21,5957
2023-11-22,7168
2023-11-23,6876
2023-11-24,6904
2023-11-25,7681
2023-11-26,8166
2023-11-27,8489
2023-11-28,6517
2023-11-29,6777
2023-11-30,6697
2023-12-01,6999
2023-12-02,5915
2023-12-03,6850
2023-12-04,7399
2023-12-05,5879
2023-12-06,7275
2023-12-07,6443
2023-12-08,6699
2023-12-09,6952
2023-12-10,7694
2023-12-11,7220
2023-12-12,5614
2023-12-13,6865
2023-12-14,6941
2023-12-15,7054
2023-12-16,7224
2023-12-17,7801
2023-12-18,7801
2023-12-19,5129
2023-12-20,7604
2023-12-21,7009
2023-12-22,6935
2023-12-23,7782
2023-12-24,6059
2023-12-25,5808
2023-12-26,6597
2023-12-27,6494
2023-12-28,6155
2023-12-29,5723
2023-12-30,5895
2023-12-31,5203
2024-01-01,6568
2024-01-02,7939
2024-01-03,8187
2024-01-04,6920
2024-01-05,4320
2024-01-06,5777
2024-01-07,8328
2024-01-08,5939
2024-01-09,3226
2024-01-10,7221
2024-01-11,6572
2024-01-12,4431
2024-01-13,3461
2024-01-14,6732
2024-01-15,7205
2024-01-16,7205
2024-01-17,3275
2024-01-18,6273
2024-01-19,6027
2024-01-20,3447
2024-01-21,2928
2024-01-22,5795
2024-01-23,5671
2024-01-24,4051
2024-01-26,5595
2024-01-27,3959
2024-01-28,4114
2024-01-29,3193
2024-01-30,5449
2024-01-31,3844
2024-02-01,2478
2024-02-02,3200
2024-02-03,1944
2024-02-04,3750
2024-02-05,3545
2024-02-06,3545
2024-02-07,2109
2024-02-08,3109
2024-02-09,3109
2024-02-10,2558
2024-02-11,5735
2024-02-12,7209
2024-02-13,7209
2024-02-14,2058
2024-02-15,5114
2024-02-16,3022
2024-02-17,3479
2024-02-18,3533
2024-02-19,6816
2024-02-20,5607
2024-02-21,5599
2024-02-22,2570
2024-02-23,6586
2024-02-24,3545
2024-02-25,3995
2024-02-26,3599
2024-02-27,6148
2024-02-28,7522
2024-02-29,2770
2024-03-01,4448
2024-03-06,7839
2024-03-07,7446
2024-03-08,7940
2024-03-09,6657
2024-03-10,6775
2024-03-11,5221
2024-03-12,5853
2024-03-13,4296
2024-03-14,5123
2024-03-15,4742
2024-03-16,5761
2024-03-17,4610
2024-03-18,4443
2024-03-19,4348
2024-03-20,5689
2024-03-21,3504
2024-03-24,4834
2024-03-25,5271
2024-03-26,4344
2024-03-27,5269
2024-03-28,4698
2024-03-29,5626
2024-03-30,4943
2024-03-31,5522
2024-04-01,5537
2024-04-02,4944
2024-04-03,5008
2024-04-04,5386
2024-04-05,6748
2024-04-06,8087
2024-04-07,6362
2024-04-08,5498
2024-04-09,4233
2024-04-10,2932
2024-04-11,3059
2024-04-12,5438
2024-04-13,6785
2024-04-14,10768
2024-04-15,12414
2024-04-16,11584
2024-04-17,10568
2024-04-18,10015
2024-04-19,10015
2024-04-20,11172
2024-04-21,12175
2024-04-22,10301
2024-04-23,9906
2024-04-24,11029
2024-04-25,9662
2024-04-26,9696
2024-04-27,9830
2024-04-28,10425
2024-04-29,10514
2024-04-30,9615
2024-05-01,10037
2024-05-02,8902
2024-05-03,9896
2024-05-04,9135
2024-05-05,10244
2024-05-06,9707
2024-05-07,8070
2024-05-08,9882
2024-05-09,8589
2024-05-10,7768
2024-05-11,7064
2024-05-12,9158
2024-05-13,8963
2024-05-14,7615
2024-05-15,8484
2024-05-16,7579
2024-05-17,8618
2024-05-18,7185
2024-05-19,8502
2024-05-20,7960
2024-05-21,6617
2024-05-22,6910
2024-05-23,6780
2024-05-24,6886
2024-05-25,5944
2024-05-26,9147
2024-05-27,7933
2024-05-28,7468
2024-05-29,6372
2024-05-30,6985
2024-05-31,6557
2024-06-01,6581
2024-06-02,8011
2024-06-03,8653
2024-06-04,7102
2024-06-05,7123
2024-06-06,6460
2024-06-07,6594
2024-06-08,6386
2024-06-09,7314
2024-06-10,7830
2024-06-11,6854
2024-06-12,7680
2024-06-13,6794
2024-06-14,7767
2024-06-15,7196
2024-06-16,5867
2024-06-17,4095
2024-06-18,6374
2024-06-19,8329
2024-06-20,7509
2024-06-21,7339
2024-06-22,8220
2024-06-23,9239
2024-06-24,9435
2024-06-25,8793
2024-06-26,9755
2024-06-27,8629
2024-06-28,9866
2024-06-29,8894
2024-06-30,9941
2024-07-01,9704
2024-07-02,9132
2024-07-03,9662
2024-07-04,9510
2024-07-05,9651
2024-07-06,9131
2024-07-07,9921
2024-07-08,10612
2024-07-09,9425
2024-07-10,10346
2024-07-11,10188
2024-07-12,9574
2024-07-13,10427
2024-07-14,10611
2024-07-15,10445
2024-07-16,8488
2024-07-17,3236
2024-07-18,7899
2024-07-19,7965
2024-07-20,8473
2024-07-21,8757
2024-07-22,8298
2024-07-23,6928
2024-07-24,8209
2024-07-25,7761
2024-07-26,8096
2024-07-27,7196
2024-07-28,7585
2024-07-29,7289
2024-07-30,6337
2024-07-31,7307
