"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2023-03-12","BPN","Sepinggan",7144,7059,85,6965,6876,89,59,2,62,2
"2023-03-13","BPN","Sepinggan",7138,7010,128,7378,7319,59,61,1,60,2
"2023-03-14","BPN","Sepinggan",7062,7062,0,7093,7093,0,64,2,65,2
"2023-03-15","BPN","Sepinggan",7859,7691,168,7401,7310,91,72,3,68,5
"2023-03-16","BPN","Sepinggan",7575,7575,0,7256,7256,0,68,2,67,3
"2023-03-17","BPN","Sepinggan",7967,7807,160,7136,7018,118,70,2,68,3
"2023-03-18","BPN","Sepinggan",7228,7228,0,7216,7216,0,66,2,62,4
"2023-03-19","BPN","Sepinggan",6406,6335,71,6957,6655,302,58,3,62,1
"2023-03-20","BPN","Sepinggan",6359,6200,159,6961,6883,78,63,1,63,2
"2023-03-21","BPN","Sepinggan",6758,6758,0,6294,6294,0,68,2,68,3
"2023-03-22","BPN","Sepinggan",6404,6233,171,6206,6075,131,61,3,62,4
"2023-03-23","BPN","Sepinggan",4694,4694,0,4328,4328,0,50,0,50,0
"2023-03-24","BPN","Sepinggan",4133,3999,134,4036,3883,153,56,2,53,3
"2023-03-25","BPN","Sepinggan",4439,4439,0,4511,4511,0,47,2,47,4
"2023-03-26","BPN","Sepinggan",5278,5227,51,5552,5423,129,52,2,50,1
"2023-03-27","BPN","Sepinggan",5034,4924,110,5508,5436,72,53,1,56,1
"2023-03-28","BPN","Sepinggan",4731,4731,0,4640,4640,0,55,2,54,2
"2023-03-29","BPN","Sepinggan",5134,5028,106,4907,4833,74,57,3,56,5
"2023-03-30","BPN","Sepinggan",5500,5500,0,4720,4720,0,56,2,55,1
"2023-03-31","BPN","Sepinggan",5180,5121,59,4539,4460,79,54,2,57,1
"2023-04-01","BPN","Sepinggan",4917,4917,0,4498,4498,0,57,3,57,4
"2023-04-02","BPN","Sepinggan",4189,4128,61,4226,4168,58,48,2,48,1
"2023-04-03","BPN","Sepinggan",4151,4078,73,4468,4441,27,55,1,52,5
"2023-04-04","BPN","Sepinggan",4738,4738,0,4494,4494,0,54,2,52,2
"2023-04-05","BPN","Sepinggan",5515,5385,130,4896,4775,121,58,3,56,5
"2023-04-06","BPN","Sepinggan",6257,6257,0,4708,4708,0,60,2,62,1
"2023-04-07","BPN","Sepinggan",5134,5029,105,4363,4222,141,58,3,58,1
"2023-04-08","BPN","Sepinggan",4956,4956,0,4275,4275,0,59,2,56,1
"2023-04-09","BPN","Sepinggan",5453,5401,52,5432,5344,88,54,2,56,2
"2023-04-10","BPN","Sepinggan",5851,5719,132,5488,5372,116,60,3,62,3
"2023-04-11","BPN","Sepinggan",5516,5516,0,4809,4809,0,62,2,62,3
"2023-04-12","BPN","Sepinggan",6565,6390,175,5427,5296,131,58,3,57,4
"2023-04-13","BPN","Sepinggan",7383,7383,0,5239,5239,0,68,2,71,2
"2023-04-14","BPN","Sepinggan",9547,9415,132,6314,6226,88,76,3,72,2
"2023-04-15","BPN","Sepinggan",10906,10906,0,7272,7272,0,78,2,80,2
"2023-04-16","BPN","Sepinggan",10741,10573,168,6359,6296,63,77,2,78,2
"2023-04-17","BPN","Sepinggan",11050,10869,181,5371,5310,61,85,1,83,2
"2023-04-18","BPN","Sepinggan",12021,12021,0,6612,6612,0,91,2,92,2
"2023-04-19","BPN","Sepinggan",12388,12020,368,7655,7497,158,92,3,86,6
"2023-04-20","BPN","Sepinggan",11618,11616,2,6345,6338,7,81,2,83,2
"2023-04-21","BPN","Sepinggan",10021,9840,181,4271,4158,113,74,2,73,2
"2023-04-22","BPN","Sepinggan",5159,5159,0,2139,2139,0,36,0,34,1
"2023-04-23","BPN","Sepinggan",5808,5683,125,3904,3794,110,39,2,41,3
"2023-04-24","BPN","Sepinggan",7209,7035,174,5658,5538,120,56,2,58,1
"2023-04-25","BPN","Sepinggan",7411,7411,0,7303,7303,0,64,3,63,1
"2023-04-26","BPN","Sepinggan",7538,7269,269,8245,7893,352,65,4,63,5
"2023-04-27","BPN","Sepinggan",6954,6954,0,7631,7631,0,60,2,64,2
"2023-04-28","BPN","Sepinggan",7420,7282,138,8629,8457,172,72,3,70,2
"2023-04-29","BPN","Sepinggan",8118,8118,0,9968,9968,0,78,2,77,2
"2023-04-30","BPN","Sepinggan",8970,8862,108,10929,10749,180,73,2,74,2
"2023-05-01","BPN","Sepinggan",9472,9311,161,11004,10823,181,76,1,75,2
"2023-05-02","BPN","Sepinggan",7850,7850,0,9545,9545,0,67,1,69,1
"2023-05-03","BPN","Sepinggan",7657,7412,245,9824,9603,221,69,3,67,4
"2023-05-04","BPN","Sepinggan",7515,7515,0,9460,9460,0,70,1,70,2
"2023-05-05","BPN","Sepinggan",7646,7509,137,9679,9512,167,72,2,71,1
"2023-05-06","BPN","Sepinggan",7336,7336,0,9572,9572,0,71,2,71,2
"2023-05-07","BPN","Sepinggan",7525,7428,97,9732,9580,152,72,2,74,2
"2023-05-08","BPN","Sepinggan",6769,6611,158,9168,9085,83,72,1,69,2
"2023-05-09","BPN","Sepinggan",6509,6509,0,9261,9261,0,71,2,73,3
"2023-05-10","BPN","Sepinggan",7562,7304,258,9320,9110,210,74,3,70,5
"2023-05-11","BPN","Sepinggan",6471,6471,0,9551,9551,0,72,2,72,2
"2023-05-12","BPN","Sepinggan",6810,6810,0,9427,9252,175,74,2,72,2
"2023-05-13","BPN","Sepinggan",6686,6686,0,9069,9069,0,74,1,74,1
"2023-05-14","BPN","Sepinggan",6932,6778,154,9613,9472,141,69,2,69,3
"2023-05-15","BPN","Sepinggan",6952,6780,172,9246,9125,121,68,1,70,2
"2023-05-16","BPN","Sepinggan",6071,6071,0,9225,9225,0,76,2,74,2
"2023-05-17","BPN","Sepinggan",8257,7943,314,9702,9488,214,83,3,80,5
"2023-05-18","BPN","Sepinggan",7842,7842,0,9432,9432,0,78,2,79,2
"2023-05-19","BPN","Sepinggan",5854,5735,119,8476,8326,150,68,3,68,3
"2023-05-20","BPN","Sepinggan",5879,5879,0,8336,8336,0,70,1,66,1
"2023-05-21","BPN","Sepinggan",7127,7044,83,9131,8957,174,71,3,73,3
"2023-05-22","BPN","Sepinggan",6446,6327,119,9100,8942,158,70,1,68,1
"2023-05-23","BPN","Sepinggan",6292,6292,0,7658,7658,0,75,2,77,3
"2023-05-24","BPN","Sepinggan",6786,6579,207,8268,8088,180,78,3,75,5
"2023-05-25","BPN","Sepinggan",6979,6975,4,7935,7935,0,73,1,75,2
"2023-05-26","BPN","Sepinggan",7588,7207,381,7534,7376,158,71,2,71,1
"2023-05-27","BPN","Sepinggan",6390,6390,0,7133,7133,0,70,2,69,3
"2023-05-28","BPN","Sepinggan",7530,7152,378,8112,7993,119,72,3,72,4
"2023-05-29","BPN","Sepinggan",6593,6179,414,7668,7601,67,71,2,72,2
"2023-05-30","BPN","Sepinggan",7177,6763,414,7868,7801,67,68,2,68,2
"2023-05-31","BPN","Sepinggan",8949,8343,606,7536,7396,140,76,3,70,6
"2023-06-01","BPN","Sepinggan",8128,7757,371,8227,8225,2,72,3,76,4
"2023-06-02","BPN","Sepinggan",5582,5151,431,7393,7263,130,57,3,56,3
"2023-06-03","BPN","Sepinggan",5132,5132,0,6178,6178,0,64,2,62,1
"2023-06-04","BPN","Sepinggan",6595,6169,426,8260,8081,179,64,3,65,5
"2023-06-05","BPN","Sepinggan",6304,5900,404,9404,9270,134,67,2,66,3
"2023-06-06","BPN","Sepinggan",5984,5984,0,6796,6796,0,67,3,67,2
"2023-06-07","BPN","Sepinggan",6616,6096,520,7960,7796,164,74,3,72,5
"2023-06-08","BPN","Sepinggan",6899,6604,295,6443,6443,0,68,2,71,3
"2023-06-09","BPN","Sepinggan",6989,6854,135,6517,6398,119,71,2,67,2
"2023-06-10","BPN","Sepinggan",6830,6830,0,7387,7387,0,68,1,69,2
"2023-06-11","BPN","Sepinggan",7631,7172,459,7091,6977,114,68,3,68,3
"2023-06-12","BPN","Sepinggan",7022,6845,177,7200,7126,74,70,2,69,3
"2023-06-13","BPN","Sepinggan",7091,6811,280,6442,6442,0,71,2,71,3
"2023-06-14","BPN","Sepinggan",8598,7948,650,8126,7952,174,72,4,68,5
"2023-06-15","BPN","Sepinggan",9241,8670,571,7571,7571,0,64,2,71,2
"2023-06-16","BPN","Sepinggan",8803,8748,55,7380,7258,122,79,3,77,3
"2023-06-17","BPN","Sepinggan",9322,9322,0,7763,7763,0,81,3,80,1
"2023-06-18","BPN","Sepinggan",10038,9560,478,8141,8009,132,70,4,72,5
"2023-06-19","BPN","Sepinggan",9265,8785,480,7245,7196,49,64,2,61,1
"2023-06-20","BPN","Sepinggan",9051,9046,5,7489,7489,0,74,1,78,3
"2023-06-21","BPN","Sepinggan",9895,9237,658,7773,7572,201,75,5,72,5
"2023-06-22","BPN","Sepinggan",9556,9386,170,7455,7455,0,72,2,71,4
"2023-06-23","BPN","Sepinggan",9250,9072,178,8330,8192,138,77,2,74,2
"2023-06-24","BPN","Sepinggan",9446,9446,0,8415,8415,0,73,2,73,1
"2023-06-25","BPN","Sepinggan",9704,9522,182,9259,9084,175,72,3,73,2
"2023-06-26","BPN","Sepinggan",8872,8690,182,8538,8446,92,73,1,74,1
"2023-06-27","BPN","Sepinggan",3673,3673,0,7755,7752,3,73,2,74,2
"2023-06-28","BPN","Sepinggan",8940,8580,360,7682,7354,328,74,3,71,4
"2023-06-29","BPN","Sepinggan",5570,5570,0,4760,4760,0,51,1,51,1
"2023-06-30","BPN","Sepinggan",6883,6701,182,7007,6822,185,66,3,64,3
"2023-07-01","BPN","Sepinggan",6791,6785,6,6984,6981,3,67,2,66,4
"2023-07-02","BPN","Sepinggan",7998,7842,156,9187,9036,151,71,2,72,2
"2023-07-03","BPN","Sepinggan",7496,7323,173,8788,8627,161,71,1,68,2
"2023-07-04","BPN","Sepinggan",7273,7273,0,8828,8828,0,73,2,75,1
"2023-07-05","BPN","Sepinggan",8557,8204,353,10048,9687,361,77,3,73,6
"2023-07-06","BPN","Sepinggan",8148,8148,0,9713,9713,0,72,1,74,2
"2023-07-07","BPN","Sepinggan",7973,7797,176,9705,9524,181,75,2,72,2
"2023-07-08","BPN","Sepinggan",7397,7397,0,9686,9686,0,82,1,80,3
"2023-07-09","BPN","Sepinggan",7762,7597,165,10047,9572,475,72,3,74,3
"2023-07-10","BPN","Sepinggan",7674,7513,161,9874,9705,169,74,1,73,2
"2023-07-11","BPN","Sepinggan",7265,7265,0,10953,10953,0,77,2,77,4
"2023-07-12","BPN","Sepinggan",8403,8092,311,10690,9753,937,74,5,72,5
"2023-07-13","BPN","Sepinggan",7763,7763,0,10037,9740,297,74,2,74,3
"2023-07-14","BPN","Sepinggan",8054,7904,150,8959,8798,161,73,2,70,1
"2023-07-15","BPN","Sepinggan",7800,7800,0,9512,9213,299,74,2,73,3
"2023-07-16","BPN","Sepinggan",7758,7637,121,9445,8970,475,72,3,73,3
"2023-07-17","BPN","Sepinggan",6046,5884,162,7652,7610,42,65,2460,65,2
"2023-07-18","BPN","Sepinggan",6562,6562,0,7940,7940,0,71,2,73,3
"2023-07-19","BPN","Sepinggan",7811,7501,310,9125,8484,641,75,4,73,5
"2023-07-20","BPN","Sepinggan",7045,7045,0,7962,7663,299,64,2,65,2
"2023-07-21","BPN","Sepinggan",7294,7156,138,6768,6609,159,65,2,64,2
"2023-07-22","BPN","Sepinggan",7001,7001,0,8191,7895,296,71,2,68,2
"2023-07-23","BPN","Sepinggan",7560,7430,130,8748,8276,472,70,3,71,3
"2023-07-24","BPN","Sepinggan",7610,7448,162,7643,7216,427,63,2,63,2
"2023-07-25","BPN","Sepinggan",6927,6927,0,8076,8076,0,74,2,76,3
"2023-07-26","BPN","Sepinggan",7188,6844,344,7594,7079,515,64,4,60,6
"2023-07-27","BPN","Sepinggan",6824,6824,0,7225,6657,568,65,3,65,3
"2023-07-28","BPN","Sepinggan",7521,7384,137,6556,6419,137,68,2,68,3
"2023-07-29","BPN","Sepinggan",6204,6204,0,7228,6935,293,64,2,61,2
"2023-07-30","BPN","Sepinggan",5918,5809,109,7642,7226,416,59,3,59,3
"2023-07-31","BPN","Sepinggan",6013,5872,141,7292,6865,427,65,2,65,1
"2023-08-01","BPN","Sepinggan",6121,6121,0,6568,6568,0,66,1,66,2
"2023-08-02","BPN","Sepinggan",7177,6604,573,7141,6613,528,57,5,58,7
"2023-08-03","BPN","Sepinggan",6217,6217,0,6396,6232,164,62,2,61,2
"2023-08-04","BPN","Sepinggan",6922,6833,89,6015,5863,152,72,2,67,1
"2023-08-05","BPN","Sepinggan",6672,6461,211,6298,6298,0,62,2,60,3
"2023-08-06","BPN","Sepinggan",6539,6376,163,7381,7222,159,65,2,65,4
"2023-08-07","BPN","Sepinggan",6457,6296,161,7352,7250,102,66,1,69,3
"2023-08-08","BPN","Sepinggan",5438,5438,0,5583,5583,0,49,2,48,2
"2023-08-09","BPN","Sepinggan",7027,6724,303,6742,6550,192,63,4,60,4
"2023-08-10","BPN","Sepinggan",7257,7256,1,6540,6526,14,62,2,67,2
"2023-08-11","BPN","Sepinggan",7154,7035,119,6394,6274,120,75,2,71,2
"2023-08-12","BPN","Sepinggan",7083,6871,212,6204,6204,0,68,2,65,4
"2023-08-13","BPN","Sepinggan",7122,6943,179,7231,7089,142,58,2,60,2
"2023-08-14","BPN","Sepinggan",6481,6305,176,6809,6755,54,65,1,65,2
"2023-08-15","BPN","Sepinggan",5898,5898,0,5705,5705,0,57,1,57,2
"2023-08-16","BPN","Sepinggan",6762,6402,360,6162,5743,419,65,5,64,3
"2023-08-17","BPN","Sepinggan",6139,6139,0,4701,4701,0,54,1,56,2
"2023-08-18","BPN","Sepinggan",5795,5675,120,5212,5044,168,58,3,53,3
"2023-08-19","BPN","Sepinggan",6222,6030,192,5575,5575,0,57,1,54,3
"2023-08-20","BPN","Sepinggan",6758,6606,152,7198,7018,180,56,2,61,2
"2023-08-21","BPN","Sepinggan",6542,6362,180,7616,7496,120,62,1,61,2
"2023-08-22","BPN","Sepinggan",7400,7400,0,6643,6643,0,64,1,61,2
"2023-08-23","BPN","Sepinggan",7196,6900,296,7210,6774,436,59,4,58,3
"2023-08-24","BPN","Sepinggan",6663,6663,0,6333,6333,0,63,1,61,1
"2023-08-25","BPN","Sepinggan",6754,6645,109,6400,6228,172,65,2,63,3
"2023-08-26","BPN","Sepinggan",6897,6711,186,6414,6414,0,59,3,57,3
